[2021-07-13 17:36:39,715] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():97} INFO - Reading /mnt/scratch/isoseq/data/13_sqanti/bc1001/hq_unpolished_mapped_sorted_collapsed_rep_classification.txt to get gene/isoform assignment...
[2021-07-13 17:36:46,838] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.10.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,838] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.10.8 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,838] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.10.9 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,838] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.10.14 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,839] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.24.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,839] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.25.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,839] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.28.18 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,839] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.29.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,839] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.40.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,840] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.48.16 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,840] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.48.17 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,840] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.48.18 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,840] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.50.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,840] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.51.6 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,841] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.63.6 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,841] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.77.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,841] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.79.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,841] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.79.9 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,842] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.109.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,842] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.113.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,842] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.113.6 because not in annotation (SQANTI/MatchAnnot) file.
